,Model,Accuracy,Precision,Recall,F1-Score
0,Logistic Regression,0.8043478260869565,0.8113207547169812,0.8431372549019608,0.8269230769230769
1,Support Vector Machine,0.8152173913043478,0.7982456140350878,0.8921568627450981,0.8425925925925926
2,Random Forest,0.8315217391304348,0.8198198198198198,0.8921568627450981,0.8544600938967136
3,XGBoost,0.8369565217391305,0.839622641509434,0.8725490196078431,0.8557692307692307
4,Naive Bayes,0.7989130434782609,0.8282828282828283,0.803921568627451,0.8159203980099502
